index, sameArtist
0,24.0
1,14.0
2,17.0
3,35.0
4,15.0
5,17.0
6,22.0
7,25.0
8,14.0
9,26.0
10,32.0
11,11.0
12,22.0
13,16.0
14,24.0
15,63.0
16,15.0
17,14.0
18,13.0
19,27.0
20,14.0
21,20.0
22,14.0
23,21.0
24,25.0
25,34.0
26,44.0
27,13.0
28,23.0
29,17.0
30,18.0
31,16.0
32,35.0
33,27.0
34,19.0
35,37.0
36,23.0
37,20.0
38,46.0
39,21.0
40,18.0
41,9.0
42,19.0
43,26.0
44,37.0
45,23.0
46,23.0
47,19.0
48,17.0
49,16.0
50,51.0
51,21.0
52,17.0
53,31.0
54,27.0
55,21.0
56,33.0
57,29.0
58,25.0
59,26.0
60,17.0
61,17.0
62,23.0
63,36.0
64,48.0
65,22.0
66,34.0
67,52.0
68,19.0
69,17.0
70,37.0
71,25.0
72,28.0
73,18.0
74,13.0
75,20.0
76,23.0
77,11.0
78,23.0
79,28.0
80,32.0
81,27.0
82,15.0
83,11.0
84,23.0
85,40.0
86,55.0
87,36.0
88,45.0
89,20.0
90,15.0
91,30.0
92,17.0
93,29.0
94,31.0
95,36.0
96,43.0
97,18.0
98,10.0
99,41.0
100,24.0
101,26.0
102,13.0
103,39.0
104,20.0
105,23.0
106,15.0
107,19.0
108,24.0
109,16.0
110,17.0
111,17.0
112,29.0
113,31.0
114,16.0
115,30.0
116,14.0
117,20.0
118,20.0
119,21.0
120,27.0
121,9.0
122,29.0
123,6.0
124,17.0
125,15.0
126,18.0
127,34.0
128,14.0
129,33.0
130,25.0
131,17.0
132,19.0
133,18.0
134,14.0
135,22.0
136,22.0
137,8.0
138,25.0
139,32.0
140,15.0
141,30.0
142,42.0
143,18.0
144,24.0
145,27.0
146,20.0
147,19.0
148,21.0
149,42.0
150,56.0
151,31.0
152,35.0
153,34.0
154,16.0
155,15.0
156,19.0
157,47.0
158,20.0
159,26.0
160,19.0
161,33.0
162,35.0
163,42.0
164,48.0
165,25.0
166,39.0
167,19.0
168,22.0
169,33.0
170,40.0
171,40.0
172,20.0
173,32.0
174,13.0
175,11.0
176,20.0
177,20.0
178,10.0
179,26.0
180,35.0
181,29.0
182,14.0
183,44.0
184,17.0
185,14.0
186,19.0
187,17.0
188,26.0
189,23.0
190,22.0
191,27.0
192,15.0
193,22.0
194,22.0
195,35.0
196,23.0
197,33.0
198,19.0
199,30.0
200,29.0
201,17.0
202,34.0
203,19.0
204,15.0
205,24.0
206,16.0
207,31.0
208,23.0
209,21.0
210,8.0
211,12.0
212,25.0
213,57.0
214,16.0
215,14.0
216,25.0
217,17.0
218,23.0
219,23.0
220,21.0
221,57.0
222,17.0
223,17.0
224,36.0
225,23.0
226,35.0
227,14.0
228,13.0
229,15.0
230,12.0
231,27.0
232,29.0
233,52.0
234,34.0
235,18.0
236,31.0
237,19.0
238,30.0
239,22.0
240,19.0
241,80.0
242,64.0
243,91.0
244,24.0
245,18.0
246,19.0
247,35.0
248,14.0
249,24.0
250,54.0
251,21.0
252,24.0
253,30.0
254,16.0
255,13.0
256,26.0
257,18.0
258,28.0
259,17.0
260,29.0
261,23.0
262,25.0
263,8.0
264,14.0
265,30.0
266,33.0
267,41.0
268,17.0
269,13.0
270,28.0
271,20.0
272,27.0
273,31.0
274,14.0
275,24.0
276,29.0
277,13.0
278,22.0
279,40.0
280,24.0
281,10.0
282,12.0
283,30.0
284,25.0
285,21.0
286,21.0
287,14.0
288,22.0
289,22.0
290,19.0
291,27.0
292,35.0
293,16.0
294,31.0
295,24.0
296,23.0
297,24.0
298,16.0
299,12.0
300,32.0
301,17.0
302,30.0
303,62.0
304,13.0
305,17.0
306,27.0
307,21.0
308,24.0
309,22.0
310,21.0
311,20.0
312,15.0
313,27.0
314,25.0
315,33.0
316,22.0
317,14.0
318,12.0
319,16.0
320,25.0
321,29.0
322,27.0
323,23.0
324,15.0
325,25.0
326,21.0
327,15.0
328,17.0
329,21.0
330,0
331,37.0
332,21.0
333,23.0
334,16.0
335,27.0
336,21.0
337,9.0
338,36.0
339,28.0
340,24.0
341,17.0
342,38.0
343,40.0
344,35.0
345,22.0
346,34.0
347,14.0
348,17.0
349,16.0
350,29.0
351,50.0
352,26.0
353,13.0
354,23.0
355,32.0
356,29.0
357,14.0
358,31.0
359,31.0
360,16.0
361,14.0
362,42.0
363,20.0
364,46.0
365,41.0
366,17.0
367,16.0
368,19.0
369,21.0
370,16.0
371,67.0
372,23.0
373,13.0
374,31.0
375,23.0
376,15.0
377,21.0
378,27.0
379,19.0
380,21.0
381,20.0
382,12.0
383,15.0
384,52.0
385,16.0
386,16.0
387,26.0
388,15.0
389,24.0
390,13.0
391,14.0
392,13.0
393,17.0
394,47.0
395,24.0
396,19.0
397,9.0
398,34.0
399,31.0
400,23.0
401,20.0
402,19.0
403,22.0
404,16.0
405,28.0
406,19.0
407,66.0
408,22.0
409,28.0
410,13.0
411,17.0
412,25.0
413,10.0
414,10.0
415,27.0
416,21.0
417,19.0
418,20.0
419,42.0
420,20.0
421,14.0
422,16.0
423,28.0
424,28.0
425,24.0
426,13.0
427,32.0
428,22.0
429,49.0
430,20.0
431,18.0
432,19.0
433,29.0
434,33.0
435,19.0
436,42.0
437,47.0
438,15.0
439,40.0
440,42.0
441,22.0
442,11.0
443,36.0
444,14.0
445,12.0
446,15.0
447,30.0
448,15.0
449,19.0
450,12.0
451,19.0
452,22.0
453,29.0
454,20.0
455,41.0
456,53.0
457,58.0
458,19.0
459,19.0
460,15.0
461,10.0
462,15.0
463,24.0
464,21.0
465,28.0
466,16.0
467,15.0
468,30.0
469,30.0
470,16.0
471,30.0
472,45.0
473,12.0
474,23.0
475,23.0
476,31.0
477,29.0
478,37.0
479,12.0
480,12.0
481,19.0
482,40.0
483,17.0
484,32.0
485,12.0
486,22.0
487,8.0
488,15.0
489,33.0
490,17.0
491,22.0
492,40.0
493,29.0
494,21.0
495,20.0
496,24.0
497,41.0
498,53.0
499,37.0
500,18.0
501,19.0
502,39.0
503,25.0
504,21.0
505,18.0
506,14.0
507,23.0
508,22.0
509,31.0
510,41.0
511,20.0
512,21.0
513,22.0
514,10.0
515,12.0
516,26.0
517,13.0
518,27.0
519,18.0
520,13.0
521,29.0
522,20.0
523,17.0
524,29.0
525,25.0
526,12.0
527,30.0
528,11.0
529,15.0
530,15.0
531,28.0
532,11.0
533,7.0
534,9.0
535,33.0
536,16.0
537,34.0
538,23.0
539,38.0
540,12.0
541,51.0
542,24.0
543,22.0
544,24.0
545,16.0
546,38.0
547,13.0
548,18.0
549,17.0
550,19.0
551,16.0
552,39.0
553,91.0
554,59.0
555,16.0
556,19.0
557,16.0
558,18.0
559,52.0
560,28.0
561,21.0
562,26.0
563,30.0
564,21.0
565,20.0
566,19.0
567,49.0
568,29.0
569,35.0
570,20.0
571,17.0
572,17.0
573,20.0
574,20.0
575,30.0
576,28.0
577,27.0
578,30.0
579,25.0
580,26.0
581,39.0
582,13.0
583,22.0
584,15.0
585,19.0
586,22.0
587,15.0
588,17.0
589,24.0
590,24.0
591,54.0
592,53.0
593,13.0
594,14.0
595,34.0
596,14.0
597,14.0
598,30.0
599,31.0
600,20.0
601,20.0
602,14.0
603,24.0
604,32.0
605,31.0
606,17.0
607,18.0
608,19.0
609,22.0
610,19.0
611,15.0
612,43.0
613,37.0
614,27.0
615,27.0
616,26.0
617,32.0
618,30.0
619,24.0
620,16.0
621,33.0
622,17.0
623,12.0
624,10.0
625,20.0
626,21.0
627,32.0
628,47.0
629,12.0
630,19.0
631,15.0
632,34.0
633,20.0
634,13.0
635,46.0
636,47.0
637,11.0
638,17.0
639,37.0
640,20.0
641,24.0
642,21.0
643,24.0
644,24.0
645,35.0
646,39.0
647,25.0
648,30.0
649,39.0
650,14.0
651,19.0
652,14.0
653,32.0
654,13.0
655,18.0
656,28.0
657,33.0
658,27.0
659,27.0
660,16.0
661,17.0
662,20.0
663,13.0
664,11.0
665,18.0
666,16.0
667,22.0
668,10.0
669,23.0
670,19.0
671,80.0
672,25.0
673,10.0
674,47.0
675,28.0
676,24.0
677,20.0
678,42.0
679,15.0
680,15.0
681,45.0
682,29.0
683,14.0
684,28.0
685,28.0
686,26.0
687,14.0
688,24.0
689,20.0
690,40.0
691,56.0
692,19.0
693,14.0
694,14.0
695,22.0
696,30.0
697,21.0
698,25.0
699,46.0
700,23.0
701,20.0
702,11.0
703,25.0
704,16.0
705,12.0
706,24.0
707,29.0
708,15.0
709,26.0
710,14.0
711,36.0
712,24.0
713,30.0
714,21.0
715,61.0
716,60.0
717,23.0
718,13.0
719,10.0
720,15.0
721,25.0
722,18.0
723,13.0
724,10.0
725,17.0
726,34.0
727,19.0
728,44.0
729,15.0
730,31.0
