filename,artist,title,style,genre,date,
17354.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Abandonment (The pair),Post-Impressionism,genre painting,1895,
95360.jpg,a6027a4ba71b61a55ea598379c9d508c,Interior (The Rape),Impressionism,interior,1869,
49757.jpg,1a8d67dbb446bdc4298cc0be56932a38,"The Manneport, Rock Arch West of Etretat",Impressionism,landscape,1883,
53841.jpg,b60aa1ea22ccf54d9fe50f892e9f28ab,Rodez,Impressionism,cityscape,c.1923,
85979.jpg,387b5bc26967586d61d0e2343c1608f3,The Cake Shop,Post-Impressionism,cityscape,1899,
81912.jpg,b60aa1ea22ccf54d9fe50f892e9f28ab,The Look at Montauban in rain,Impressionism,landscape,c.1922,
17146.jpg,74a1dad53214d04514269a188f16683a,Prayer in the Saint Pierre Cathedral in Geneva,Impressionism,genre painting,1882,
46012.jpg,74a1dad53214d04514269a188f16683a,Landscape with two small trees,Post-Impressionism,landscape,c.1893,
69300.jpg,46200eee40e22039aef7a5944bb445c9,Landscape in Semmering,Post-Impressionism,landscape,c.1907,
5241.jpg,342d7068656b00878b23e1031a3ddf50,Girl with Peaches ,Impressionism,portrait,1887,
12836.jpg,74a1dad53214d04514269a188f16683a,Maggia Delta before sunrise,Post-Impressionism,landscape,1893,
8943.jpg,74a1dad53214d04514269a188f16683a,Samoëns,Impressionism,cityscape,c.1882,
8250.jpg,b60aa1ea22ccf54d9fe50f892e9f28ab,Le Havre with rain clouds,Impressionism,cityscape,1922,
16347.jpg,74a1dad53214d04514269a188f16683a,Lake Geneva from the Caux,Post-Impressionism,landscape,1917,
99956.jpg,74a1dad53214d04514269a188f16683a,Seated bearded man,Impressionism,portrait,1884,
93353.jpg,24ed88087b0ffeb763e89a197a5cde0d,At the Beach in Nice,Impressionism,genre painting,1882,
84409.jpg,74a1dad53214d04514269a188f16683a,Lake Geneva from Chexbres,Post-Impressionism,landscape,c.1905,
31717.jpg,74a1dad53214d04514269a188f16683a,Child by the table,Post-Impressionism,genre painting,1889,
95477.jpg,b60aa1ea22ccf54d9fe50f892e9f28ab,Saint Paul de Vence,Impressionism,landscape,c.1921,
71149.jpg,7b5a9186df853ff921c211145ca5ab59,Columbus in Prison,Impressionism,genre painting,,
5694.jpg,387b5bc26967586d61d0e2343c1608f3,Half-figure of a seated woman,Post-Impressionism,portrait,c.1911,
41682.jpg,1a8d67dbb446bdc4298cc0be56932a38,"Poppy Field, Argenteuil",Impressionism,landscape,1875,
37256.jpg,1a8d67dbb446bdc4298cc0be56932a38,Gardener's House at Antibes,Impressionism,landscape,1888,
54668.jpg,f02369856dac75a59c92393f5a1f1912,A Lady from Naples,Impressionism,portrait,,
64210.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,The Greens (Seated Woman in a Garden),Post-Impressionism,portrait,1891,
19464.jpg,b60aa1ea22ccf54d9fe50f892e9f28ab,Floral still life,Impressionism,still life,c.1924,
3016.jpg,dd4989789d310581024ae2b9203d5439,Ambroise Vollard Portrait,Impressionism,portrait,,
56641.jpg,1a8d67dbb446bdc4298cc0be56932a38,Sunlight Effect under the Poplars,Impressionism,landscape,1887,
3632.jpg,50591a7061fb340d875723f38e00cc3b,"New York, Late Afternoon, Winter",Impressionism,cityscape,1900,
